start,end,deviceid,com_select,engagement_datetime,engagement_venue,num_male,num_female,criteria1_name,criteria2_name,criteria3_name,criteria4_name,criteria5_name,num_fgd,fgd_selectedfgd1,fgd_selectedfgd2,fgd_selectedfgd3,fgd_selectedfgd4,fgd_selectedfgd5,fgd_selectedfgd6,fgd_selectedfgd7,fgd_selectedfgd8,total_pvhh,latitude,longitude,altitude,precision,_uuid,_submission_time,_index,communityid,SNO,state,lga,ward,community_name,state_shp,lga_shp,ward_shp,community
23mar2026,27mar2026,collect:8848Ns9xqXjSc1wu,1000072,23mar2026,Community hall,57,61,LACK OF IMPROVE FARM INPUT,HIGH RATE OF SCHOOL DROP OUT,INABILITY TO ENGAGE IN FARMING DUE TO OLD AGE,HEALTH CHALLENGES,LACK OF SOCIAL AMENITIES,118,1,1,1,1,0,0,0,0,118,5.6818162,7.6465878,113.3773803710938,4.931,d0fb3069-521c-420a-97c1-7866661e3799,30mar2026,58,1000072,101,ABIA,BENDE,IGBERE B,ISIENYI,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000072. ISIENYI
20mar2026,27mar2026,collect:8848Ns9xqXjSc1wu,1000079,24mar2026,COMMUNITY HALL,48,52,FINANCIAL DIFFICULTIES,HIGH RATE OF SCHOOL DROP OUT,LOW AGRICULTURAL OUTPUTS DUE TO LOW INPUTS,LACK SOCIAL AMENITIES,INACCESSIBILITY TO HEALTH FACILITIES,156,1,1,1,1,0,0,0,0,100,5.7021531,7.6675852,161.9129028320312,4.645,6e9a7f98-c18c-4f84-9cee-483d546b6747,30mar2026,57,1000079,90,ABIA,BENDE,IGBERE B,NDI UKAGHA-AMAELU-NDI NGELE-,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000079. NDI UKAGHA-AMAELU-NDI NGELE-
18mar2026,27mar2026,collect:8848Ns9xqXjSc1wu,1000080,18mar2026,COMMUNITY HALL,35,35,POVERTY-STRICKEN,UNEMPLOYMENT,LACK OF MONEY,LACK OF RURAL INFRASTRUCTURE,HEALTH CHALLENGE,70,1,1,1,0,0,0,0,0,67,5.6828344,7.6459968,131.8848876953125,4.502,dd111eca-0ff9-4e35-8600-74f4550c44cd,30mar2026,55,1000080,103,ABIA,BENDE,IGBERE B,NDI-AMURI,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000080. NDI-AMURI
27mar2026,02apr2026,collect:8848Ns9xqXjSc1wu,1000085,13mar2026,COMMUNITY HALL,69,74,UNEMPLOYMENT,LACK OF MONEY,HEALTH ISSUES AND OLD AGE,OUT OF SCHOOL CHILDREN,LACK OF SOCIAL AMENITIES,143,1,1,1,1,0,0,0,0,143,5.6878416,7.6496225,111.9097900390625,4.288,28c5bcee-a1a8-4a07-8479-15edcac71c03,03apr2026,71,1000085,104,ABIA,BENDE,IGBERE B,OHUMOLA,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000085. OHUMOLA
20mar2026,29mar2026,collect:8848Ns9xqXjSc1wu,1000088,21mar2026,COMMUNITY HALL,34,52,LOW AGRICULTURAL PRODUCTS DUE TO LOW INPUT,LACK OF SOCIAL AMENITIES,FINANCIAL DIFFICULTIES,HIGH RATE OF OUT OF SCHOOL DROP OUT,INABILITY TO HAVE ACCESS TO HEALTH FACILITIES,86,1,1,1,1,0,0,0,0,86,5.7022689,7.6675416,155.4596557617188,4.824,8b75ccfe-b7f6-4096-8a33-28373a4b0408,30mar2026,59,1000088,97,ABIA,BENDE,IGBERE B,UHU EKENTA-NDIOTA-NDI OGBU,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000088. UHU EKENTA-NDIOTA-NDI OGBU
18mar2026,19mar2026,collect:8848Ns9xqXjSc1wu,1000092,19mar2026,Community hall,27,40,UNEMPLOYMENT,HEALTH CHALLENGE,POVERTY-STRICKEN,LACK OF RURAL INFRASTRUCTURE,LOW AGRICULTURAL PRODUCTS,67,1,1,1,1,0,0,0,0,63,5.6829961,7.6460018,113.1911010742188,4.931,f4c27c27-f5be-438e-9d31-b067c1ea5326,30mar2026,54,1000092,102,ABIA,BENDE,IGBERE B,UHUORJI,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000092. UHUORJI
20mar2026,27mar2026,collect:8848Ns9xqXjSc1wu,1000094,20mar2026,Community hall,47,54,INABILITY TO HAVE ACCESS TO HEALTH FACILITIES,HIGH RATE OF OUT OF SCHOOL DROP OUT,FINANCIAL DIFFICULTIES,LOW AGRICULTURAL PRODUCTS,LACK OF SOCIAL AMENITIES,101,1,1,1,1,0,0,0,0,101,5.7023094,7.6675633,166.2931518554688,4.466,8e4a213b-7b84-4405-86a2-983d66a39527,30mar2026,56,1000094,91,ABIA,BENDE,IGBERE B,UMUORJI-NDI ABI-AKWUROTA,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000094. UMUORJI-NDI ABI-AKWUROTA
20mar2026,20mar2026,collect:eCurZ1qcZhk1dJSp,1000197,20mar2026,Community hall,16,32,Lack of health facilities,Lack of social amenities,Lack of mechanised system of farming,Lack of educational equipments in the school,Lack of employment opportunities for the youth,3,0,1,1,1,0,0,0,0,47,5.7994691,7.6690251,69.10186767578125,4.853,d9c8e9c0-06c4-46f5-8fc3-dbdeef83501e,21mar2026,15,1000197,234,ABIA,BENDE,ITEM  WARD  C,AMADI OCHA UMUAKPA,2016. ABIA,23318. BENDE,46. ITEM C,1000197. AMADI OCHA UMUAKPA
17mar2026,20mar2026,collect:eCurZ1qcZhk1dJSp,1000199,17mar2026,Community hall,75,95,Lack of educational equipments in the school,Lack of employment opportunities for the youth,Lack of mechanised system of farming,Lack of medical equipments at the health facility,Lack of social amenities,3,0,1,1,1,0,0,0,0,170,5.7913599,7.6812102,98.56024169921875,4.716,807862f1-84f9-49c7-9bb6-d94201062bf9,21mar2026,14,1000199,208,ABIA,BENDE,ITEM  WARD  C,AMAORJI-ELUNTA- EZIANO-UMUENZO,2016. ABIA,23318. BENDE,46. ITEM C,1000199. AMAORJI-ELUNTA- EZIANO-UMUENZO
17mar2026,20mar2026,collect:eCurZ1qcZhk1dJSp,1000203,16mar2026,Community hall,45,52,Lack of social amenities,Lack of employment opportunities for the youth,Lack of mechanised system of farming,Lack medical equipments at the health facility,Lack of educational equipments in the school,3,0,1,1,1,0,0,0,0,97,5.7913811,7.6812577,98.4909668,4.516,432c3aea-cc14-479b-919b-a4ffa2613e57,21mar2026,17,1000203,235,ABIA,BENDE,ITEM  WARD  C,EZI-ELUNTA,2016. ABIA,23318. BENDE,46. ITEM C,1000203. EZI-ELUNTA
