start,end,deviceid,com_select,mobilization_datetime,mobilization_venue,Engagement_datetime,engagement_venue,latitude,longitude,altitude,precision,_uuid,_submission_time,_index,communityid,SNO,state,lga,ward,community_name,state_shp,lga_shp,ward_shp,community
12mar2026,13mar2026,collect:8848Ns9xqXjSc1wu,1000063,13mar2026,EZE EBIRI OKORO PALACE,16mar2026,Community hall,5.6852705,7.651219,132.3996582,4.931,60c2a01f-24d0-4f00-aa4f-a41d5838930f,14mar2026,49,1000063,75,ABIA,BENDE,IGBERE A,OHUMOLA,2016. ABIA,23318. BENDE,45. IGBERE 'A',1000063. OHUMOLA
12mar2026,13mar2026,collect:8848Ns9xqXjSc1wu,1000072,13mar2026,EZEOGO HOUSE,23mar2026,Community hall,5.6816217,7.6455018,103.5928955078125,4.716,ebcb0bb9-1119-4249-99bc-a41642acb3a6,14mar2026,48,1000072,101,ABIA,BENDE,IGBERE B,ISIENYI,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000072. ISIENYI
12mar2026,13mar2026,collect:8848Ns9xqXjSc1wu,1000080,13mar2026,NDI AMURI CHAIRMAN HOUSE,18mar2026,Community hall,5.6827117,7.6455817,100.5560913085938,4.716,d08889de-4a77-4119-a548-714360ba6fe3,14mar2026,47,1000080,103,ABIA,BENDE,IGBERE B,NDI-AMURI,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000080. NDI-AMURI
10mar2026,10mar2026,collect:YYSM5RQv6NZpq3Ee,1000087,10mar2026,AGBALA NDI AGBO EZI,20mar2026,AGBALA NDI AGBO EZI,5.7315796,7.4808872,214.7288208007812,4.288,395b307b-4ad3-421e-9325-ebdf381f64d6,10mar2026,5,1000087,96,ABIA,BENDE,IGBERE B,OLOWO-OMAI-EGBE-AGBOEZI,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000087. OLOWO-OMAI-EGBE-AGBOEZI
11mar2026,13mar2026,collect:8848Ns9xqXjSc1wu,1000092,11mar2026,CHAIRMAN House,19mar2026,UMUORJI HALL,5.6831378,7.6460263,57.38964844,4.716,702bdac4-6b64-492c-9879-143ab7aafe9e,14mar2026,46,1000092,102,ABIA,BENDE,IGBERE B,UHUORJI,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000092. UHUORJI
12mar2026,13mar2026,collect:8848Ns9xqXjSc1wu,1000093,12mar2026,Community hall,20mar2026,Community hall,5.7022109,7.6682407,180.2479248046875,4.716,4a788acc-178a-4ad7-9fe3-47051f3ae3db,14mar2026,50,1000093,105,ABIA,BENDE,IGBERE B,UMUORJI,2016. ABIA,23318. BENDE,44. IGBERE 'B',1000093. UMUORJI
09mar2026,11mar2026,collect:YYSM5RQv6NZpq3Ee,1000108,10mar2026,AGBALA NDI AGBOEZI,20mar2026,AGBOEZI HALL,5.7315281,7.4808514,205.7027587890625,4.824,1ac18b0e-cc29-4a30-a550-6a9d421db666,11mar2026,8,1000108,115,ABIA,BENDE,ITEM  WARD  A,ETITI-AMABA,2016. ABIA,23318. BENDE,47. ITEM A,1000108. ETITI-AMABA
11mar2026,11mar2026,collect:eCurZ1qcZhk1dJSp,1000197,11mar2026,COMMUNITY HALL,11mar2026,COMMUNITY HALL,5.7994248,7.6689857,96.77502441,4.99,70a0d13f-b8b7-4644-8a2e-33765ace8b7b,11mar2026,11,1000197,234,ABIA,BENDE,ITEM  WARD  C,AMADI OCHA UMUAKPA,2016. ABIA,23318. BENDE,46. ITEM C,1000197. AMADI OCHA UMUAKPA
11mar2026,11mar2026,collect:eCurZ1qcZhk1dJSp,1000199,11mar2026,COMMUNITY HALL,11mar2026,Community hall,5.7913508,7.6811527,95.63690185546875,4.192,4c76e3df-754c-4553-9806-b1a547dc0511,11mar2026,10,1000199,208,ABIA,BENDE,ITEM  WARD  C,AMAORJI-ELUNTA- EZIANO-UMUENZO,2016. ABIA,23318. BENDE,46. ITEM C,1000199. AMAORJI-ELUNTA- EZIANO-UMUENZO
12mar2026,12mar2026,collect:eCurZ1qcZhk1dJSp,1000203,12mar2026,COMMUNITY HALL,12mar2026,COMMUNITY HALL,5.7941241,7.6828204,102.1071777,4.565,e9a17d38-75e8-4084-806a-963abedddeeb,12mar2026,16,1000203,235,ABIA,BENDE,ITEM  WARD  C,EZI-ELUNTA,2016. ABIA,23318. BENDE,46. ITEM C,1000203. EZI-ELUNTA
